"variable","nombre","tipo"
"pases_90","Pases / 90","Passing"
"precision_pases_percent","Precisión total pases (%)","Passing"
"pases_hacia_adelante_90","Pases hacia adelante / 90","Passing"
"precision_pases_hacia_adelante_percent","Precisión adelante (%)","Passing"
"pases_hacia_atras_90","Pases hacia atrás / 90","Passing"
"precision_pases_hacia_atras_percent","Precisión atrás (%)","Passing"
"pases_laterales_90","Pases laterales / 90","Passing"
"precision_pases_laterales_percent","Precisión lateral (%)","Passing"
"pases_cortos_medios_90","Pases cortos/medios / 90","Passing"
"precision_pases_cortos_medios_percent","Precisión cortos/medios (%)","Passing"
"pases_largos_90","Pases largos / 90","Passing"
"precision_pases_largos_percent","Precisión pases largos (%)","Passing"
"longitud_media_pases_m","Longitud media de pases (m)","Passing"
"longitud_media_pases_largos_m","Longitud media de pases largos (m)","Passing"
"x_a_90","xA / 90","Creativity"
"second_assists_90","Segunda asistencia / 90","Creativity"
"third_assists_90","Tercera asistencia / 90","Creativity"
"desmarques_90","Desmarques / 90","Attack"
"precision_desmarques_percent","Precisión desmarques (%)","Attack"
"jugadas_claves_90","Pases clave / 90","Creativity"
"pases_en_el_ultimo_tercio_90","Pases en tercio final / 90","Creativity"
"precision_pases_en_el_ultimo_tercio_percent","Precisión tercio final (%)","Creativity"
"pases_al_area_de_penalti_90","Pases al área / 90","Creativity"
"pases_hacia_el_area_pequena_percent","Precisión área pequeña (%)","Creativity"
"pases_en_profundidad_90","Pases en profundidad / 90","Creativity"
"precision_pases_en_profundidad_percent","Precisión profundidad (%)","Creativity"
"ataque_en_profundidad_90","Ataques en profundidad / 90","Attack"
"centros_desde_el_ultimo_tercio_90","Centros desde último tercio / 90","Attack"
"pases_progresivos_90","Pases progresivos / 90","Passing"
"precision_pases_progresivos_percent","Precisión progresivos (%)","Passing"
"goles_recibidos","Goles recibidos","Goalkeeping"
"goles_recibidos_90","Goles recibidos / 90","Goalkeeping"
"remates_en_contra","Remates en contra","Goalkeeping"
"remates_en_contra_90","Remates en contra / 90","Goalkeeping"
"porterias_imbatidas_en_los_90","Porterías imbatidas / 90","Goalkeeping"
"paradas_percent","Porcentaje de paradas","Goalkeeping"
"x_g_en_contra","xG en contra","Goalkeeping"
"x_g_en_contra_90","xG en contra / 90","Goalkeeping"
"goles_evitados","Goles evitados","Goalkeeping"
"goles_evitados_90","Goles evitados / 90","Goalkeeping"
"pases_hacia_atras_recibidos_del_arquero_90","Pases del arquero / 90","Goalkeeping"
"salidas_90","Salidas / 90","Goalkeeping"
"tiros_libres_90","Tiros libres / 90","Attack"
"tiros_libres_directos_90","Tiros libres directos / 90","Attack"
"tiros_libres_directos_percent","Precisión tiros libres (%)","Attack"
"corneres_90","Corneres / 90","Attack"
"penaltis_a_favor","Penaltis a favor","Attack"
"penaltis_realizados_percent","Penaltis convertidos (%)","Attack"
